,component,num_of_addrs
1125,1125,2
1126,1126,2
1127,1127,5
1128,1128,2
1129,1129,20
1130,1130,17
1131,1131,3
1132,1132,3
1133,1133,3
1134,1134,2
1135,1135,5
1136,1136,8
1137,1137,2
1138,1138,3
1139,1139,2
1140,1140,3
1141,1141,2
1142,1142,8
1143,1143,3
1144,1144,4
1145,1145,3
1146,1146,2
1147,1147,2
1148,1148,2
1149,1149,2
1150,1150,2
1151,1151,2
1152,1152,2
1153,1153,2
1154,1154,5
1155,1155,2
1156,1156,2
1157,1157,3
1158,1158,4
1159,1159,2
1160,1160,20
1161,1161,4
1162,1162,3
1163,1163,2
1164,1164,13
1165,1165,5
1166,1166,6
1167,1167,2
1168,1168,17
1169,1169,2
1170,1170,18
1171,1171,3
1172,1172,2
1173,1173,3
1174,1174,29
1175,1175,5
1176,1176,17
1177,1177,13
1178,1178,2
1179,1179,6
1180,1180,10
1181,1181,4
1182,1182,8
1183,1183,14
1184,1184,2
1185,1185,9
1186,1186,2
1187,1187,5
1188,1188,3
1189,1189,5
1190,1190,5
1191,1191,4
1192,1192,6
1193,1193,3
1194,1194,3
1195,1195,2
1196,1196,3
1197,1197,11
1198,1198,8
1199,1199,5
1200,1200,14
1201,1201,2
1202,1202,2
1203,1203,2
1204,1204,2
1205,1205,5
1206,1206,2
1207,1207,15
1208,1208,2
1209,1209,5
1210,1210,8
1211,1211,2
1212,1212,3
1213,1213,2
1214,1214,4
1215,1215,3
1216,1216,2
1217,1217,5
1218,1218,4
1219,1219,3
1220,1220,3
1221,1221,11
1222,1222,2
1223,1223,9
1224,1224,6
1225,1225,2
1226,1226,3
1227,1227,2
1228,1228,2
1229,1229,11
1230,1230,6
1231,1231,5
1232,1232,3
1233,1233,2
1234,1234,2
1235,1235,5
1236,1236,3
1237,1237,2
1238,1238,11
1239,1239,8
1240,1240,3
1241,1241,6
1242,1242,2
1243,1243,2
1244,1244,2
1245,1245,11
1246,1246,5
1247,1247,2
1248,1248,10
1249,1249,3
1250,1250,12
1251,1251,2
1252,1252,3
1253,1253,11
1254,1254,7
1255,1255,3
1256,1256,9
1257,1257,8
1258,1258,12
1259,1259,3
1260,1260,2
1261,1261,5
1262,1262,2
1263,1263,3
1264,1264,27
1265,1265,2
1266,1266,3
1267,1267,7
1268,1268,2
1269,1269,2
1270,1270,5
1271,1271,5
1272,1272,7
1273,1273,2
1274,1274,3
1275,1275,3
1276,1276,4
1277,1277,22
1278,1278,2
1279,1279,2
1280,1280,4
1281,1281,3
1282,1282,4
1283,1283,2
1284,1284,2
1285,1285,11
1286,1286,16
1287,1287,2
1288,1288,7
1289,1289,6
1290,1290,3
1291,1291,2
1292,1292,10
1293,1293,7
1294,1294,5
1295,1295,2
1296,1296,5
1297,1297,2
1298,1298,3
1299,1299,2
1300,1300,7
1301,1301,2
1302,1302,12
1303,1303,2
1304,1304,2
1305,1305,2
1306,1306,2
1307,1307,2
1308,1308,7
1309,1309,8
1310,1310,2
1311,1311,20
1312,1312,2
1313,1313,3
1314,1314,2
1315,1315,8
1316,1316,18
1317,1317,2
1318,1318,9
1319,1319,29
1320,1320,21
1321,1321,10
1322,1322,3
1323,1323,3
1324,1324,10
1325,1325,2
1326,1326,2
1327,1327,3
1328,1328,2
1329,1329,6
1330,1330,18
1331,1331,7
1332,1332,2
1333,1333,3
1334,1334,3
1335,1335,4
1336,1336,24
1337,1337,10
1338,1338,8
1339,1339,3
1340,1340,7
1341,1341,12
1342,1342,14
1343,1343,2
1344,1344,2
1345,1345,2
1346,1346,11
1347,1347,2
1348,1348,4
1349,1349,2
1350,1350,3
1351,1351,4
1352,1352,5
1353,1353,4
1354,1354,7
1355,1355,9
1356,1356,3
1357,1357,2
1358,1358,3
1359,1359,4
1360,1360,2
1361,1361,2
1362,1362,8
1363,1363,3
1364,1364,2
1365,1365,3
1366,1366,2
1367,1367,13
1368,1368,3
1369,1369,2
1370,1370,2
1371,1371,3
1372,1372,28
1373,1373,7
1374,1374,8
1375,1375,9
1376,1376,6
1377,1377,2
1378,1378,2
1379,1379,3
1380,1380,2
1381,1381,5
1382,1382,7
1383,1383,6
1384,1384,3
1385,1385,7
1386,1386,5
1387,1387,2
1388,1388,4
1389,1389,20
1390,1390,15
1391,1391,2
1392,1392,36
1393,1393,3
1394,1394,2
1395,1395,14
1396,1396,2
1397,1397,13
1398,1398,4
1399,1399,11
1400,1400,3
1401,1401,3
1402,1402,7
1403,1403,2
1404,1404,3
1405,1405,3
1406,1406,2
1407,1407,3
1408,1408,2
1409,1409,3
1410,1410,4
1411,1411,2
1412,1412,2
1413,1413,2
1414,1414,2
1415,1415,2
1416,1416,2
1417,1417,2
1418,1418,2
1419,1419,5
1420,1420,2
1421,1421,7
1422,1422,2
